Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change
25,93730,30,Under 35,M,3832.00,3961.00,7793.00,129.00,0.033663883
9,97124,32,Under 35,M,3845.00,4059.00,7904.00,214.00,0.055656697
20,80922,40,40-44,M,3795.00,4157.00,7952.00,362.00,0.095388669
46,2136,38,35-39,M,3997.00,4065.00,8062.00,68.00,0.01701276
51,6119,26,Under 35,M,3979.00,4198.00,8177.00,219.00,0.055038955
36,90291,23,Under 35,M,3973.00,4215.00,8188.00,242.00,0.06091115
43,72712,27,Under 35,M,3979.00,4249.00,8228.00,270.00,0.067856245
37,81101,29,Under 35,M,4069.00,4257.00,8326.00,188.00,0.046202998
47,2451,41,40-44,M,4122.00,4268.00,8390.00,146.00,0.035419699
30,14850,33,Under 35,M,4004.00,4392.00,8396.00,388.00,0.096903097
44,2891,35,35-39,M,4130.00,4276.00,8406.00,146.00,0.03535109
58,48864,40,40-44,M,4195.00,4300.00,8495.00,105.00,0.025029797
63,2124,37,35-39,M,4120.00,4383.00,8503.00,263.00,0.063834951
21,86001,28,Under 35,M,3866.00,4654.00,8520.00,788.00,0.203828246
38,86001,33,Under 35,M,4144.00,4383.00,8527.00,239.00,0.057673745
300,13208,40,40-44,M,4272.00,4263.00,8535.00,-9.00,-0.002106742
33,14580,33,Under 35,M,4139.00,4425.00,8564.00,286.00,0.069098816
121,86001,30,Under 35,F,4354.00,4211.00,8565.00,-143.00,-0.032843362
121,86001,30,Under 35,F,7333.00,8798.00,16131.00,1465.00,0.199781808
110,80305,44,40-44,F,4355.00,4246.00,8601.00,-109.00,-0.025028703
110,80305,44,40-44,F,5729.00,6548.00,12277.00,819.00,0.142956886
251,3038,32,Under 35,M,4323.00,4306.00,8629.00,-17.00,-0.003932454
119,87111,30,Under 35,F,4354.00,4290.00,8644.00,-64.00,-0.014699127
119,87111,30,Under 35,F,6649.00,7283.00,13932.00,634.00,0.095352685
108,19382,28,Under 35,F,4354.00,4290.00,8644.00,-64.00,-0.014699127
108,19382,28,Under 35,F,5555.00,6966.00,12521.00,1411.00,0.254005401
31,78725,32,Under 35,M,4138.00,4520.00,8658.00,382.00,0.092315128
556,63124,24,Under 35,M,4311.00,4360.00,8671.00,49.00,0.011366272
41,3865,32,Under 35,M,4051.00,4623.00,8674.00,572.00,0.141199704
1671,2132,36,35-39,M,4344.00,4356.00,8700.00,12.00,0.002762431
