Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change,Avg Max Temp,Max Temp,Min Temp,Avg Min Temp,Max Min Temp,Min Min Temp,Avg Mean Temp,Max Mean Temp,Min Mean Temp
25,93730,30,Under 35,M,3832,3961,7793,129,0.033663883,69.3725,83.5745,51.8945,43.45249987,53.6945,34.7945,54.38550227,66.86075,44.698246
9,97124,32,Under 35,M,3845,4059,7904,214,0.055656697,60.74059967,72.4946,49.0046,40.11860033,47.8346,32.7146,48.58659833,54.8696,41.080853
20,80922,40,40-44,M,3795,4157,7952,362,0.095388669,59.9468004,72.5288,48.7688,34.80679993,45.7088,26.358799,46.28830107,58.743805,36.2888
46,2136,38,35-39,M,3997,4065,8062,68,0.01701276,54.9934994,71.5955,37.7555,38.5894998,53.595497,31.8155,45.98224907,58.5905,36.58175
51,6119,26,Under 35,M,3979,4198,8177,219,0.055038955,57.64280033,72.5108,40.290802,39.7147998,55.2308,31.5608,47.62905207,58.6583,36.8933
36,90291,23,Under 35,M,3973,4215,8188,242,0.06091115,65.2934004,74.5394,55.9994,48.16339993,54.739403,38.9894,56.18365053,63.326904,49.57565
43,72712,27,Under 35,M,3979,4249,8228,270,0.067856245,70.0144984,81.1085,54.3785,50.3585,64.5485,36.1985,58.4612478,69.4835,46.375996
37,81101,29,Under 35,M,4069,4257,8326,188,0.046202998,58.0361002,69.8981,46.4081,26.24210033,35.5181,19.948101,41.05160007,50.72435,31.610598
47,2451,41,40-44,M,4122,4268,8390,146,0.035419699,53.9972,69.7892,36.1292,37.52119987,48.9992,31.0892,44.9996986,57.534206,34.977947
30,14850,33,Under 35,M,4004,4392,8396,388,0.096903097,57.27529893,75.5753,41.5553,40.51130013,55.505302,32.1053,47.9280504,60.241558,36.26405
44,2891,35,35-39,M,4130,4276,8406,146,0.03535109,52.76540013,66.6194,41.2394,39.82940013,51.4994,30.3494,45.82040167,55.669403,38.0144
58,48864,40,40-44,M,4195,4300,8495,105,0.025029797,58.14650027,74.7185,44.2085,38.9285,48.9785,29.9885,47.9052504,60.352253,37.053497
63,2124,37,35-39,M,4120,4383,8503,263,0.063834951,53.2783996,69.5264,37.2164,39.1124,53.776398,32.7164,45.4516504,58.055157,36.2114
21,86001,28,Under 35,M,3866,4654,8520,788,0.203828246,52.51939947,65.197395,37.2074,28.1654,40.2674,15.517399,39.75814927,52.398647,27.082403
38,86001,33,Under 35,M,4144,4383,8527,239,0.057673745,52.51939947,65.197395,37.2074,28.1654,40.2674,15.517399,39.75814927,52.398647,27.082403
300,13208,40,40-44,M,4272,4263,8535,-9,-0.002106742,56.56339933,74.4674,39.4574,39.29540033,54.5774,30.5474,46.61639973,60.77615,35.021152
33,14580,33,Under 35,M,4139,4425,8564,286,0.069098816,55.37870013,72.538704,40.4987,40.48070027,54.9887,32.6687,46.6321994,58.14246,35.814945
121,86001,30,Under 35,F,4354,4211,8565,-143,-0.032843362,52.51939947,65.197395,37.2074,28.1654,40.2674,15.517399,39.75814927,52.398647,27.082403
121,86001,30,Under 35,F,7333,8798,16131,1465,0.199781808,52.51939947,65.197395,37.2074,28.1654,40.2674,15.517399,39.75814927,52.398647,27.082403
110,80305,44,40-44,F,4355,4246,8601,-109,-0.025028703,63.75649967,76.986496,51.7865,34.12849993,42.6065,25.956501,47.13775067,58.195255,38.46275
110,80305,44,40-44,F,5729,6548,12277,819,0.142956886,63.75649967,76.986496,51.7865,34.12849993,42.6065,25.956501,47.13775067,58.195255,38.46275
251,3038,32,Under 35,M,4323,4306,8629,-17,-0.003932454,53.20970013,65.8517,34.4417,36.10969987,44.9717,30.3017,43.6907002,55.20921,33.687946
119,87111,30,Under 35,F,4354,4290,8644,-64,-0.014699127,65.63389867,76.1999,55.3199,40.9079,52.8899,28.0499,52.29190007,62.643658,40.52615
119,87111,30,Under 35,F,6649,7283,13932,634,0.095352685,65.63389867,76.1999,55.3199,40.9079,52.8899,28.0499,52.29190007,62.643658,40.52615
108,19382,28,Under 35,F,4354,4290,8644,-64,-0.014699127,61.44019947,77.4302,47.190197,43.55419993,54.8402,35.2202,51.66720033,65.26145,42.296444
108,19382,28,Under 35,F,5555,6966,12521,1411,0.254005401,61.44019947,77.4302,47.190197,43.55419993,54.8402,35.2202,51.66720033,65.26145,42.296444
31,78725,32,Under 35,M,4138,4520,8658,382,0.092315128,81.28279893,86.496796,77.6768,60.72679907,69.1268,51.6668,69.4845506,75.381805,62.616795
556,63124,24,Under 35,M,4311,4360,8671,49,0.011366272,68.06959973,84.3836,47.5736,47.7896,63.2336,33.6236,57.214603,71.50986,43.5461
41,3865,32,Under 35,M,4051,4623,8674,572,0.141199704,53.45749967,68.1755,35.6855,36.48949993,45.7655,29.925499,44.15324893,55.6055,34.4705
1671,2132,36,35-39,M,4344,4356,8700,12,0.002762431,54.7361002,71.3381,37.4981,38.3321,53.3381,31.5581,45.7248518,58.3331,36.324352
237,95003,26,Under 35,M,4334,4381,8715,47,0.010844485,63.95180013,77.4158,54.5558,44.8538,50.8658,38.0858,52.99279947,62.77579,45.405796
255,44312,28,Under 35,M,4271,4459,8730,188,0.044017794,61.39579947,75.5438,42.3338,42.7838002,56.0138,28.7438,50.78880293,59.636303,37.687553
290,60440,28,Under 35,M,4246,4500,8746,254,0.059821008,58.37600047,78.26,37.760002,40.63400013,59.18,28.58,48.26225173,66.012505,35.39375
407,55414,24,Under 35,M,4280,4470,8750,190,0.044392523,57.53510033,73.7051,44.2751,35.11909993,41.8451,26.7251,45.51859973,58.79511,36.2726
430,7003,32,Under 35,M,4320,4433,8753,113,0.026157407,58.472,73.67,43.25,42.2539998,56.12,32.27,49.6047502,63.845,40.977497
235,2135,30,Under 35,M,4219,4535,8754,316,0.074899265,53.96150113,70.371506,37.9715,38.2655,51.1115,31.9415,45.3922498,58.232746,36.512753
245,47304,30,Under 35,M,4351,4412,8763,61,0.014019766,62.9021,76.8281,41.9981,43.93610007,55.4981,25.9781,52.09484893,64.580605,37.2581
229,90704,37,35-39,M,4250,4527,8777,277,0.065176471,61.68409987,72.5081,53.968098,50.7760994,55.768097,45.5081,55.64184853,62.019352,50.994354
268,43017,31,Under 35,M,4285,4502,8787,217,0.050641774,63.26119973,77.1872,43.7972,45.19520013,57.6572,29.7572,52.9839496,64.5122,39.574696
59,80503,41,40-44,M,4281,4535,8816,254,0.059331932,65.32459947,78.7946,53.0546,33.06859993,37.8446,26.5046,47.14060007,56.1671,39.550846
