Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
0.547619048,1,0.715819613,0,0.25,0.333333333,0.914285714,0.666666667,0.25,1,0.262453923,0.6980526,0.888888889,0,0,0,0,0.2,0,0,0.15,0.222222222,0,0.294117647,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
0.738095238,0,0.126700072,0.25,0,0.666666667,0.442857143,0.333333333,0.25,0.333333333,0.217008952,0.916000803,0.111111111,0.857142857,1,1,0.333333333,0.25,0.5,0.666666667,0.25,0.388888889,0.066666667,0.411764706,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
0.452380952,1,0.909806729,0.035714286,0.25,1,0.885714286,0.333333333,0,0.666666667,0.056924697,0.012126079,0.666666667,0.285714286,0,0.333333333,0,0.175,0.5,0.666666667,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
0.357142857,0,0.923407301,0.071428571,0.75,1,0.371428571,0.666666667,0,0.666666667,0.100052659,0.845814094,0.111111111,0,0,0.666666667,0,0.2,0.5,0.666666667,0.2,0.388888889,0.2,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0.214285714,0,0.350035791,0.035714286,0,0,0.142857143,0.666666667,0,0.333333333,0.129489205,0.583738205,1,0.071428571,0,1,0.333333333,0.15,0.5,0.666666667,0.05,0.111111111,0.133333333,0.117647059,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0.333333333,0,0.646385111,0.035714286,0.25,1,0.7,0.666666667,0,1,0.108425487,0.392290705,0,0.142857143,0,0.666666667,0,0.2,0.333333333,0.333333333,0.175,0.388888889,0.2,0.352941176,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0.976190476,0,0.874731568,0.071428571,0.5,0.666666667,0.728571429,1,0,0,0.087467088,0.316000803,0.444444444,0.642857143,1,0,1,0.3,0.5,0.333333333,0.025,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
0.285714286,0,0.899069435,0.821428571,0,1,0.528571429,0.666666667,0,0.666666667,0.088678252,0.45135515,0.111111111,0.785714286,1,0.333333333,0.333333333,0.025,0.333333333,0.666666667,0.025,0,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.476190476,0,0.081603436,0.785714286,0.5,1,0.2,0.333333333,0.5,0.666666667,0.44849921,0.268741217,0,0.714285714,1,0.333333333,0,0.25,0.333333333,0.666666667,0.225,0.388888889,0.066666667,0.470588235,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0.428571429,0,0.856836077,0.928571429,0.5,0.666666667,0.914285714,0.666666667,0.25,0.666666667,0.222643497,0.581529813,0.666666667,0.142857143,0,0.333333333,0.666666667,0.425,0.5,0.333333333,0.175,0.388888889,0.466666667,0.411764706,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
